num_self,num_staff,j,cost,Wq_Exp,Wq_Reg,Wq_All
5,6,23,650,0.5640026255879014,5.808017834327473,1.6018145834642132
5,6,24,650,0.29160591977419315,4.628921186394277,1.1866636379266249
5,6,25,650,0.5174184914683492,6.874826711819988,1.8334506401839121
5,6,26,650,0.41757285348865764,5.610651509999763,1.4386157398621946
5,6,27,650,0.24614430472785617,3.1546416122391583,0.8376523937940041
5,6,28,650,0.42556171860042324,4.244641480121058,1.159764075325061
5,6,29,650,0.5103741292277071,7.279282778872517,1.855235172837249
5,6,30,650,0.252455326955133,3.326177628393514,0.8501235522348182
6,6,1,660,0.17080479086564232,7.283498774311339,1.6724211004351532
6,6,2,660,0.18586280021581658,6.983192863307242,1.5497194983815166
6,6,3,660,0.15934517968770814,5.290605490049148,1.1642342744209813
6,6,4,660,0.12048773521809829,2.995599758100606,0.675855160941826
6,6,5,660,0.13367226327476953,7.544214893086348,1.6348952841155675
6,6,6,660,0.13221795507172743,4.904737495163535,1.098175909986309
6,6,7,660,0.18931439641388514,3.4694967787774025,0.8667925061006994
6,6,8,660,0.18329839021761507,9.996004840562033,2.2152518302415136
6,6,9,660,0.19258239445757858,6.476786199192358,1.5462612847478825
6,6,10,660,0.1813461643920234,3.9649742642719956,0.9461059305736925
6,6,11,660,0.11861605130791665,2.6274985813563223,0.5953596997880133
6,6,12,660,0.08997258937565553,2.8309176540853183,0.6019242314044166
6,6,13,660,0.19785253142827613,5.172598680963692,1.2070097609017165
6,6,14,660,0.08277408639784813,2.7336964863072324,0.5924620246901109
6,6,15,660,0.14062398850850366,3.100778392572358,0.7280191443118196
6,6,16,660,0.11781077942180447,3.094337895462514,0.6865968519891482
6,6,17,660,0.16049171119907077,4.154959429562879,0.9895472364447753
6,6,18,660,0.13200391393002275,5.605245497347583,1.2449257242347598
6,6,19,660,0.10100158668903166,3.6556298669148224,0.8309762405166435
6,6,20,660,0.12180273387415073,2.6793683293105905,0.6099772388408989
6,6,21,660,0.12757143290865677,3.73691043373536,0.8229750618784559
6,6,22,660,0.13765445415212785,6.037748616619447,1.2940919656086816
6,6,23,660,0.15456089643855878,4.105140805572815,0.9274828125553616
6,6,24,660,0.17227355834079278,5.3505416548902955,1.2119726996011226
6,6,25,660,0.08466633677934325,2.859785788502426,0.6385678330079949
6,6,26,660,0.14564629039197055,4.145401916179065,0.9441909767671239
6,6,27,660,0.17737664749423418,4.701392110089592,1.0729710076807428
6,6,28,660,0.17045216616714493,6.776714202060849,1.5125553404587744
6,6,29,660,0.1405342164780757,5.227607829303769,1.2402488453446496
6,6,30,660,0.11901365515896252,3.1006538646682773,0.6877587790358929
7,6,1,670,0.033204194932634844,2.439874150728675,0.4972989881081966
7,6,2,670,0.043822823707623575,2.761991354286306,0.5971506592251433
7,6,3,670,0.05426291940479736,3.877133353714803,0.818374375718072
7,6,4,670,0.06001013126406196,2.8260041439429773,0.5864465788294697
7,6,5,670,0.07083670329091839,7.366970628272054,1.6126612308341017
7,6,6,670,0.05594296523210094,3.959877845648479,0.7991722970426474
7,6,7,670,0.03721622955469214,2.727336108788867,0.570771205602151
7,6,8,670,0.06938474744810844,3.2414838591812805,0.680077035053391
7,6,9,670,0.04843592274898907,3.380714422023777,0.7276526644171053
7,6,10,670,0.05519930916973787,5.816653888650546,1.2091040778892834
7,6,11,670,0.046910860615910634,2.921641167904322,0.6085474542769274
7,6,12,670,0.06608174672258145,4.531235136511836,0.9423444349671112
7,6,13,670,0.07378192710456648,3.8254959780856983,0.829489803359397
7,6,14,670,0.04855276719093733,4.5234945903577275,0.9831925150675455
7,6,15,670,0.0511994431501661,2.934181842017557,0.643529695244911
7,6,16,670,0.07994735052526201,6.51160967579605,1.4098408751529667
7,6,17,670,0.07212841006235501,4.670000674878949,0.9971819560919896
7,6,18,670,0.047342923561532545,5.306574750015576,1.0674032936144402
7,6,19,670,0.06668853894381452,3.833303556891483,0.8425188186595888
7,6,20,670,0.05514906350794881,3.9415562502673187,0.8155667117134545
7,6,21,670,0.07336067342897903,4.722519714540811,0.9983631514448369
7,6,22,670,0.06740078122889905,4.872659574051734,1.0213424158090179
7,6,23,670,0.08231021121480268,4.422706575407288,0.955582380999492
7,6,24,670,0.06277601525023177,2.956911318090049,0.649191988412054
7,6,25,670,0.07753788575878373,2.4618166744047563,0.5418374101345272
7,6,26,670,0.05817782221594564,3.894980947100447,0.7957532543949682
7,6,27,670,0.06314641911763882,3.994618922098583,0.8250054017816024
7,6,28,670,0.07367248240399062,2.774699946115385,0.5878982992234493
7,6,29,670,0.05798437345587652,3.5102609394402733,0.7519638009329127
7,6,30,670,0.05642516309383977,6.066265257670387,1.3195632635167607
8,6,1,680,0.011886827119218662,2.8539480951019938,0.5764537333667195
8,6,2,680,0.024064484136474492,5.012801505616398,1.043966311692482
8,6,3,680,0.0313881930526196,2.5256096598891333,0.5154819804243422
8,6,4,680,0.028738621859341302,6.324700193864198,1.2832934766802353
8,6,5,680,0.0233841309263979,4.413017957592775,0.9212833427744135
8,6,6,680,0.021703046568673046,4.988557707610949,1.036760669838077
8,6,7,680,0.023005297287580474,7.95742721173403,1.674080414924455
8,6,8,680,0.01813803613768165,2.6847379516283576,0.5653005775545299
8,6,9,680,0.017310114117188576,2.6787235189251963,0.5367430904238251
8,6,10,680,0.021707801698643118,7.298068830046994,1.456873122668432
8,6,11,680,0.027025661202251614,3.736191805702407,0.7772854532842878
8,6,12,680,0.016281685797200345,2.9118990582824003,0.6058547944455095
8,6,13,680,0.011745459095931497,2.677594865798974,0.5375806141708791
8,6,14,680,0.029864839533605046,6.3705848490638415,1.254521049494116
8,6,15,680,0.02241996889316197,4.7830837759357525,0.9735860980565952
8,6,16,680,0.026592224975166962,3.0444000566749043,0.6241015616880328
8,6,17,680,0.012788928232602425,2.7816479692609235,0.5271664004886767
8,6,18,680,0.016577484383649706,2.1258563163497857,0.4318737002897447
8,6,19,680,0.02472265768700522,2.9752338107556136,0.6016775937256847
8,6,20,680,0.022483186501673198,2.7150915870911465,0.5511308597117613
8,6,21,680,0.014366776034769973,2.152313243207435,0.4373734966625026
8,6,22,680,0.024921778129963185,4.075004631728689,0.8285227017623668
8,6,23,680,0.018687614252687928,3.062950584429481,0.6230588981668395
8,6,24,680,0.029630768091123645,3.059425532595286,0.6405112150256684
8,6,25,680,0.027305767869104425,2.389888145616577,0.47529192328083203
8,6,26,680,0.023458701817802727,4.354441058021036,0.8535708818471427
8,6,27,680,0.026097344290898227,4.323685941540209,0.8673498731353688
8,6,28,680,0.024747303856117182,4.626793795390288,0.9787495599440907
8,6,29,680,0.03346556636212178,4.170082873216193,0.8561495210398893
8,6,30,680,0.028236812179872717,3.812388792769483,0.7964256423627557
9,6,1,690,0.01626754591384331,2.204902965577522,0.44953070637515946
9,6,2,690,0.005374709143863499,2.1937387100940584,0.43509785201460816
9,6,3,690,0.009319484711603175,4.213717590061009,0.8356698682683978
9,6,4,690,0.0060178286783856725,2.520915867102107,0.5016214798824176
9,6,5,690,0.012965925235187838,4.452854639690678,0.8733956076095193
9,6,6,690,0.017128714538727993,6.161078267172792,1.2768072952437484
9,6,7,690,0.0042193706001836554,3.070582709359566,0.6426538685660073
9,6,8,690,0.0070038363996208445,2.7953723449255166,0.561505719366684
9,6,9,690,0.012860526664219368,3.939667427111908,0.7957705251537898
9,6,10,690,0.017014600421307726,3.5608045284730956,0.6872132137575266
9,6,11,690,0.013064841119807047,4.549700454757059,0.8932007724721447
9,6,12,690,0.013940896965523319,6.133659579820411,1.2147733735701032
9,6,13,690,0.008001498153345952,3.358368466200524,0.6521462008836482
9,6,14,690,0.010249985779789592,4.566002817684057,0.9123433894729606
9,6,15,690,0.01045643761652952,3.490009034904683,0.6906488102225287
9,6,16,690,0.0114180046821145,2.6236012519063743,0.5148129639236805
9,6,17,690,0.003376437382384135,3.1943510615473527,0.6275153414421315
9,6,18,690,0.011087775385153828,2.038730312932143,0.3987372705394279
9,6,19,690,0.012486501462105554,15.993871194800601,3.2903896559373247
9,6,20,690,0.012017184971851481,4.296190561547267,0.818548454691137
9,6,21,690,0.016079441796459207,5.207525551825069,1.0828715308474943
9,6,22,690,0.006024470553884027,3.3951852789617236,0.6866814933974509
9,6,23,690,0.00613329353451338,1.740667670097003,0.3500110157385076
9,6,24,690,0.007924121588195438,4.019025408212244,0.7978074586385873
9,6,25,690,0.009003371028567679,4.439906832220049,0.9183909876068437
9,6,26,690,0.004944557423563796,4.21371402757562,0.8877017611068253
9,6,27,690,0.006028549674139615,3.4861748918815123,0.727403421728329
9,6,28,690,0.01307863503132545,2.2274198840100965,0.440994034287799
9,6,29,690,0.005520856184976722,1.923627377956785,0.3818631127780727
9,6,30,690,0.008026387295699202,1.9820032409651478,0.41298641742026576
10,6,1,700,0.002692134180719262,3.449513681555821,0.671910889375645
10,6,2,700,0.004638548704918705,2.7716312856754484,0.5409791681414114
10,6,3,700,0.0030923704591189994,5.432867651562138,1.0728040524870903
10,6,4,700,0.0012272254970725047,3.7058034461672564,0.7304974363244839
10,6,5,700,0.0034210718352190236,2.51640398501273,0.5213449969349891
10,6,6,700,0.003196671943855555,5.736828534782028,1.1233707696039905
10,6,7,700,0.002879225129295034,4.535781250275857,0.9300223731871726
10,6,8,700,0.0025902352769452794,2.373868188132619,0.4654044214483018
10,6,9,700,4.78458636302852e-4,2.8219493133308844,0.5743560470636923
10,6,10,700,0.004166128289211838,1.6412983115680695,0.31630921070234846
10,6,11,700,0.005688381046126635,3.479128710268071,0.6896423602946632
10,6,12,700,0.002741709168767028,3.4185382584631605,0.6610118783340015
10,6,13,700,1.1179405665324474e-4,4.089572607179651,0.841742251638695
10,6,14,700,0.007981025356480957,7.080559588112448,1.408911953153281
